Offering_ID,Course_ID,Semester,Student_ID,Instructor_ID,Schedule,Created_date,Updated_date,"created by","updated by"
1,6,"Summer 2025",1,7,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
2,20,"Spring 2025",1,4,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
3,15,"Spring 2025",1,11,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
4,5,"Fall 2024",2,8,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
5,11,"Spring 2025",2,5,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
6,7,"Summer 2025",3,7,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
7,1,"Spring 2025",3,10,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
8,23,"Spring 2025",4,3,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
9,21,"Fall 2024",4,7,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
10,16,"Fall 2024",4,11,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
11,16,"Fall 2024",5,11,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
12,27,"Fall 2024",5,8,"Tue-Thu 2PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
13,26,"Summer 2025",6,5,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
14,24,"Summer 2025",7,4,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
15,12,"Summer 2025",8,8,"Mon 1PM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
16,2,"Fall 2024",8,8,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
17,15,"Fall 2024",8,3,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
18,2,"Summer 2025",9,6,"Mon-Wed 9AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
19,9,"Summer 2025",10,5,"Fri 10AM","0000-00-00 00:00:00","2025-06-30 13:44:18",Admin,Admin
